Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/04/2019;7.6;18.2
Abbadia S.Salvatore;02/04/2019;5.4;16.6
Abbadia S.Salvatore;03/04/2019;5.3;10.2
Abbadia S.Salvatore;04/04/2019;0.9;9.0
Abbadia S.Salvatore;05/04/2019;0.1;8.7
Abbadia S.Salvatore;06/04/2019;2.0;13.3
Abbadia S.Salvatore;07/04/2019;4.0;10.5
Abbadia S.Salvatore;08/04/2019;3.4;10.2
Abbadia S.Salvatore;09/04/2019;5.4;13.6
Abbadia S.Salvatore;10/04/2019;4.5;11.4
Abbadia S.Salvatore;11/04/2019;4.7;11.7
Abbadia S.Salvatore;12/04/2019;5.1;11.3
Abbadia S.Salvatore;13/04/2019;2.6;9.7
Abbadia S.Salvatore;14/04/2019;2.2;10.1
Abbadia S.Salvatore;15/04/2019;3.9;9.4
Abbadia S.Salvatore;16/04/2019;4.3;13.2
Abbadia S.Salvatore;17/04/2019;5.1;15.1
Abbadia S.Salvatore;18/04/2019;6.1;15.9
Abbadia S.Salvatore;19/04/2019;6.8;16.1
Abbadia S.Salvatore;20/04/2019;7.2;18.2
Abbadia S.Salvatore;21/04/2019;9.8;18.8
Abbadia S.Salvatore;22/04/2019;9.1;18.8
Abbadia S.Salvatore;23/04/2019;8.9;12.2
Abbadia S.Salvatore;24/04/2019;9.5;18.3
Abbadia S.Salvatore;25/04/2019;12.5;22.4
Abbadia S.Salvatore;26/04/2019;6.8;15.1
Abbadia S.Salvatore;27/04/2019;7.4;15.5
Abbadia S.Salvatore;28/04/2019;6.3;14.1
Abbadia S.Salvatore;29/04/2019;2.3;9.1
Abbadia S.Salvatore;30/04/2019;3.9;13.6
Abbazia Trisulti;01/04/2019;9.1;19.2
Abbazia Trisulti;02/04/2019;7.8;17.0
Abbazia Trisulti;03/04/2019;4.6;10.0
Abbazia Trisulti;04/04/2019;5.7;10.4
Abbazia Trisulti;05/04/2019;0.8;11.7
Abbazia Trisulti;06/04/2019;4.7;15.7
Abbazia Trisulti;07/04/2019;4.9;12.6
Abbazia Trisulti;08/04/2019;4.7;12.5
Abbazia Trisulti;09/04/2019;4.7;15.1
Abbazia Trisulti;10/04/2019;4.1;9.8
Abbazia Trisulti;11/04/2019;3.1;11.0
Abbazia Trisulti;12/04/2019;4.0;12.9
Abbazia Trisulti;13/04/2019;4.5;11.3
