Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/12/2018;4,5;10,5
Abbadia S.Salvatore;02/12/2018;4,5;10,3
Abbadia S.Salvatore;03/12/2018;7;11,7
Abbadia S.Salvatore;04/12/2018;8;13,5
Abbadia S.Salvatore;05/12/2018;6,1;14,1
Abbadia S.Salvatore;06/12/2018;5,1;9,9
Abbadia S.Salvatore;07/12/2018;4,2;10,5
Abbadia S.Salvatore;08/12/2018;6,2;9,0
Abbadia S.Salvatore;09/12/2018;3,6;10,8
Abbadia S.Salvatore;10/12/2018;4,9;9,9
Abbadia S.Salvatore;11/12/2018;-1,2;6,6
Abbadia S.Salvatore;12/12/2018;-1;5,9
Abbadia S.Salvatore;13/12/2018;-1,2;2,3
Abbadia S.Salvatore;14/12/2018;-0,7;1,0
Abbadia S.Salvatore;15/12/2018;-3,4;0,1
Abbadia S.Salvatore;16/12/2018;-3,6;5,3
Abbadia S.Salvatore;17/12/2018;-0,3;2,0
Abbadia S.Salvatore;18/12/2018;-0,6;4,5
Abbadia S.Salvatore;19/12/2018;0,8;8,0
Abbadia S.Salvatore;20/12/2018;3,2;7,2
Abbadia S.Salvatore;21/12/2018;3,3;8,5
Abbadia S.Salvatore;22/12/2018;5,7;9,8
Abbadia S.Salvatore;23/12/2018;5,6;12,2
Abbadia S.Salvatore;24/12/2018;4,4;10,1
Abbadia S.Salvatore;25/12/2018;0,5;6,1
Abbadia S.Salvatore;26/12/2018;0,4;9,2
Abbadia S.Salvatore;27/12/2018;2,3;8,0
Abbadia S.Salvatore;28/12/2018;2,2;8,0
Abbadia S.Salvatore;29/12/2018;2,6;11,4
Abbadia S.Salvatore;30/12/2018;2,9;7,8
Abbadia S.Salvatore;31/12/2018;2,9;9,1
Abbazia Trisulti;01/12/2018;5,1;12,0
Abbazia Trisulti;02/12/2018;5,4;11,8
Abbazia Trisulti;03/12/2018;6,9;9,9
Abbazia Trisulti;04/12/2018;7,6;15,5
Abbazia Trisulti;05/12/2018;6,5;12,9
Abbazia Trisulti;06/12/2018;5,8;11,7
Abbazia Trisulti;07/12/2018;5,2;11,4
Abbazia Trisulti;08/12/2018;5,1;10,3
Abbazia Trisulti;09/12/2018;3,8;10,6
Abbazia Trisulti;10/12/2018;4,2;12,3
Abbazia Trisulti;11/12/2018;0,5;8,1
Abbazia Trisulti;12/12/2018;-0,6;6,3
Abbazia Trisulti;13/12/2018;2,1;4,3
Abbazia Trisulti;14/12/2018;3,8;7,7
Abbazia Trisulti;15/12/2018;0,3;7,3
Abbazia Trisulti;16/12/2018;-0,1;6,0
Abbazia Trisulti;17/12/2018;2,3;8,3
Abbazia Trisulti;18/12/2018;1,3;8,5
Abbazia Trisulti;19/12/2018;0,5;8,5
Abbazia Trisulti;20/12/2018;3,3;7,6
Abbazia Trisulti;21/12/2018;3,2;10,3
Abbazia Trisulti;22/12/2018;6,4;8,3
Abbazia Trisulti;23/12/2018;5,2;11,5
Abbazia Trisulti;24/12/2018;6,2;10,8
Abbazia Trisulti;25/12/2018;3,9;7,0
Abbazia Trisulti;26/12/2018;2;8,6
Abbazia Trisulti;27/12/2018;3,2;10,8
Abbazia Trisulti;28/12/2018;3,1;8,9
Abbazia Trisulti;29/12/2018;3,4;11,8
Abbazia Trisulti;30/12/2018;3,8;9,1
Abbazia Trisulti;31/12/2018;5;7,6
Acquapendente;01/12/2018;1,2;17,8
Acquapendente;02/12/2018;-0,3;16,0
Acquapendente;03/12/2018;8,3;14,9
Acquapendente;04/12/2018;6,4;24,6
Acquapendente;05/12/2018;0,2;23,8
Acquapendente;06/12/2018;4,5;12,9
Acquapendente;07/12/2018;1,4;19,5
Acquapendente;08/12/2018;0;17,7
Acquapendente;09/12/2018;-1;15,2
Acquapendente;10/12/2018;-1,6;20,0
Acquapendente;11/12/2018;-4,5;19,5
Acquapendente;12/12/2018;-7,3;14,7
Acquapendente;13/12/2018;0,8;5,0
Acquapendente;14/12/2018;2,3;5,9
Acquapendente;15/12/2018;-0,4;8,0
Acquapendente;16/12/2018;-2,9;6,6
Acquapendente;17/12/2018;3,3;6,5
Acquapendente;18/12/2018;-1,6;15,2
Acquapendente;19/12/2018;-3,9;11,7
Acquapendente;20/12/2018;0,6;12,4
Acquapendente;21/12/2018;-1;14,6
Acquapendente;22/12/2018;7,7;13,3
Acquapendente;23/12/2018;3,9;21,1
Acquapendente;24/12/2018;3,6;15,4
Acquapendente;25/12/2018;-0,9;15,4
Acquapendente;26/12/2018;-4,5;20,2
Acquapendente;27/12/2018;-4,2;19,9
Acquapendente;28/12/2018;-1,6;16,3
Acquapendente;29/12/2018;-0,1;7,6
Acquapendente;30/12/2018;0,1;14,9
Acquapendente;31/12/2018;-3;18,7
Allumiere;01/12/2018;6,9;12,7
Allumiere;02/12/2018;7,8;12,1
Allumiere;03/12/2018;10,2;14,7
Allumiere;04/12/2018;10,1;15,5
Allumiere;05/12/2018;9,1;17,2
Allumiere;06/12/2018;7,3;11,5
Allumiere;07/12/2018;6,6;13,3
Allumiere;08/12/2018;7,9;13,4
Allumiere;09/12/2018;6,8;13,8
Allumiere;10/12/2018;7;13,2
Allumiere;11/12/2018;3,8;10,5
Allumiere;12/12/2018;2,9;8,1
Allumiere;13/12/2018;3;6,4
Allumiere;14/12/2018;1,9;5,5
Allumiere;15/12/2018;-0,6;3,5
Allumiere;16/12/2018;-1,2;8,6
Allumiere;17/12/2018;2,2;10,8
Allumiere;18/12/2018;1,8;7,6
Allumiere;19/12/2018;2,3;10,7
Allumiere;20/12/2018;6,8;10,8
Allumiere;21/12/2018;5,7;11,2
Allumiere;22/12/2018;9,4;11,4
Allumiere;23/12/2018;8,6;12,9
Allumiere;24/12/2018;7,8;11,6
Allumiere;25/12/2018;4;9,7
Allumiere;26/12/2018;2,6;11,8
Allumiere;27/12/2018;4,3;10,7
Allumiere;28/12/2018;4,8;9,4
Allumiere;29/12/2018;5,4;11,0
Allumiere;30/12/2018;6;9,7
Allumiere;31/12/2018;5;11,2
Amatrice;01/12/2018;0,3;11,1
Amatrice;02/12/2018;-3,3;11,8
Amatrice;03/12/2018;6;9,6
Amatrice;04/12/2018;2;15,5
Amatrice;05/12/2018;-2,5;14,6
Amatrice;06/12/2018;0,6;12,1
Amatrice;07/12/2018;-0,6;13,5
Amatrice;08/12/2018;-3,5;9,2
Amatrice;09/12/2018;-4,6;11,8
Amatrice;10/12/2018;-3,8;9,9
Amatrice;11/12/2018;-7;6,9
Amatrice;12/12/2018;-9,3;6,2
Amatrice;13/12/2018;-2,3;3,1
Amatrice;14/12/2018;-0,5;2,5
Amatrice;15/12/2018;-10;2,1
Amatrice;16/12/2018;-11,4;6,4
Amatrice;17/12/2018;-0,4;3,2
Amatrice;18/12/2018;-8,1;6,0
Amatrice;19/12/2018;-10,1;9,6
Amatrice;20/12/2018;-1;9,5
Amatrice;21/12/2018;-1,6;9,6
Amatrice;22/12/2018;3,1;7,4
Amatrice;23/12/2018;0,2;13,6
Amatrice;24/12/2018;0,7;14,1
Amatrice;25/12/2018;-2,9;6,0
Amatrice;26/12/2018;-6,2;9,3
Amatrice;27/12/2018;-5,2;12,2
Amatrice;28/12/2018;-5,4;12,1
Amatrice;29/12/2018;-5;14,0
Amatrice;30/12/2018;-4,4;8,7
Amatrice;31/12/2018;-3,4;6,9
Anzio;01/12/2018;11,9;15,4
Anzio;02/12/2018;10,2;16,4
Anzio;03/12/2018;12,3;16,6
Anzio;04/12/2018;12,8;17,8
Anzio;05/12/2018;11,8;18,6
Anzio;06/12/2018;11,1;15,4
Anzio;07/12/2018;10;17,7
Anzio;08/12/2018;9,9;16,6
Anzio;09/12/2018;7,8;16,4
Anzio;10/12/2018;10,7;16,2
Anzio;11/12/2018;6,6;14,4
Anzio;12/12/2018;5,7;11,5
Anzio;13/12/2018;8,1;10,2
Anzio;14/12/2018;7,9;12,6
Anzio;15/12/2018;3,8;10,1
Anzio;16/12/2018;2,9;12,3
Anzio;17/12/2018;7;15,1
Anzio;18/12/2018;6;14,0
Anzio;19/12/2018;5,5;12,9
Anzio;20/12/2018;9,6;13,5
Anzio;21/12/2018;9,3;14,7
Anzio;22/12/2018;11,8;14,8
Anzio;23/12/2018;11,7;15,5
Anzio;24/12/2018;12,1;15,3
Anzio;25/12/2018;8,4;15,3
Anzio;26/12/2018;7;14,8
Anzio;27/12/2018;0,1;13,3
Anzio;28/12/2018;6,3;14,1
Anzio;29/12/2018;6,6;13,8
Anzio;30/12/2018;7,5;12,6
Anzio;31/12/2018;7,1;14,4
Aprilia;01/12/2018;10,9;16,5
Aprilia;02/12/2018;7,6;16,6
Aprilia;03/12/2018;11,6;13,6
Aprilia;04/12/2018;12,3;18,5
Aprilia;05/12/2018;9,5;18,4
Aprilia;06/12/2018;10;15,1
Aprilia;07/12/2018;8,7;16,9
Aprilia;08/12/2018;9,3;16,8
Aprilia;09/12/2018;6,1;16,7
Aprilia;10/12/2018;9,6;15,7
Aprilia;11/12/2018;4,5;13,8
Aprilia;12/12/2018;4,7;12,7
Aprilia;13/12/2018;8,2;10,3
Aprilia;14/12/2018;7,3;12,3
Aprilia;15/12/2018;3,2;10,5
Aprilia;16/12/2018;1,2;11,5
Aprilia;17/12/2018;7,2;10,8
Aprilia;18/12/2018;4,9;13,8
Aprilia;19/12/2018;3,7;13,2
Aprilia;20/12/2018;8,6;14,2
Aprilia;21/12/2018;6,4;15,1
Aprilia;22/12/2018;9,7;12,3
Aprilia;23/12/2018;9,9;16,1
Aprilia;24/12/2018;10,8;13,7
Aprilia;25/12/2018;5,8;16,3
Aprilia;26/12/2018;4,7;14,8
Aprilia;27/12/2018;3,1;13,2
Aprilia;28/12/2018;4,4;13,4
Aprilia;29/12/2018;4,5;13,4
Aprilia;30/12/2018;2,9;12,5
Aprilia;31/12/2018;5,4;13,8
Ardea;01/12/2018;10,1;18,4
Ardea;02/12/2018;4,1;16,2
Ardea;03/12/2018;10,1;16,8
Ardea;04/12/2018;9,6;19,2
Ardea;05/12/2018;3,4;20,2
Ardea;06/12/2018;5,8;16,2
Ardea;07/12/2018;3,9;18,7
Ardea;08/12/2018;3,1;17,3
Ardea;09/12/2018;0,4;17,6
