 Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/02/2019;4,2;8,1
Abbadia S.Salvatore;02/02/2019;2,2;7,8
Abbadia S.Salvatore;03/02/2019;2;4,1
Abbadia S.Salvatore;04/02/2019;0,4;4,9
Abbadia S.Salvatore;05/02/2019;0,3;6,5
Abbadia S.Salvatore;06/02/2019;2;7,5
Abbadia S.Salvatore;07/02/2019;0,5;10,3
Abbadia S.Salvatore;08/02/2019;2,2;9
Abbadia S.Salvatore;09/02/2019;1,8;10,1
Abbadia S.Salvatore;10/02/2019;2,5;8,1
Abbadia S.Salvatore;11/02/2019;3,3;7,5
Abbadia S.Salvatore;12/02/2019;2,2;7,8
Abbadia S.Salvatore;13/02/2019;0,7;6,5
Abbadia S.Salvatore;14/02/2019;3,2;12
Abbadia S.Salvatore;15/02/2019;2,6;11,7
Abbadia S.Salvatore;16/02/2019;1,8;11,5
Abbadia S.Salvatore;17/02/2019;3;12,7
Abbadia S.Salvatore;18/02/2019;2,8;10,7
Abbadia S.Salvatore;19/02/2019;0,7;8,5
Abbadia S.Salvatore;20/02/2019;0,4;10,1
Abbadia S.Salvatore;21/02/2019;2,7;10,8
Abbadia S.Salvatore;22/02/2019;2,3;12,8
Abbadia S.Salvatore;23/02/2019;-2,5;6,2
Abbadia S.Salvatore;24/02/2019;-3,4;3,9
Abbadia S.Salvatore;25/02/2019;0,7;8,4
Abbadia S.Salvatore;26/02/2019;5;11,3
Abbadia S.Salvatore;27/02/2019;7,4;15,3
Abbadia S.Salvatore;28/02/2019;3,8;14,9
Abbazia Trisulti;01/02/2019;3,6;8,2
Abbazia Trisulti;02/02/2019;4,4;8,9
Abbazia Trisulti;03/02/2019;2,5;5,7
Abbazia Trisulti;04/02/2019;2,8;8,5
Abbazia Trisulti;05/02/2019;5,6;12,4
Abbazia Trisulti;06/02/2019;5,6;9,8
Abbazia Trisulti;07/02/2019;3,2;11,7
Abbazia Trisulti;08/02/2019;2,9;10,1
Abbazia Trisulti;09/02/2019;2,6;9,8
Abbazia Trisulti;10/02/2019;4,7;9
Abbazia Trisulti;11/02/2019;0,5;8,1
Abbazia Trisulti;12/02/2019;0,7;8,1
Abbazia Trisulti;13/02/2019;1,8;5,6
Abbazia Trisulti;14/02/2019;1,7;12,5
Abbazia Trisulti;15/02/2019;5,6;11,5
