Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/06/2019;11,2;18,8
Abbadia S.Salvatore;02/06/2019;14,3;21,8
Abbadia S.Salvatore;03/06/2019;16,1;24,1
Abbadia S.Salvatore;04/06/2019;14,8;23,5
Abbadia S.Salvatore;05/06/2019;13;23,4
Abbadia S.Salvatore;06/06/2019;11,4;21,8
Abbadia S.Salvatore;07/06/2019;10,2;24,5
Abbadia S.Salvatore;08/06/2019;17,9;28
Abbadia S.Salvatore;09/06/2019;18,1;29
Abbadia S.Salvatore;10/06/2019;19,6;28,9
Abbadia S.Salvatore;11/06/2019;16,9;26,3
Abbadia S.Salvatore;12/06/2019;16;26,2
Abbadia S.Salvatore;13/06/2019;13,3;27,1
Abbadia S.Salvatore;14/06/2019;19;30,8
Abbadia S.Salvatore;15/06/2019;16,9;24,9
Abbadia S.Salvatore;16/06/2019;16;24,3
Abbadia S.Salvatore;17/06/2019;16,7;26,3
Abbadia S.Salvatore;18/06/2019;16;27,1
Abbadia S.Salvatore;19/06/2019;16,1;26,2
Abbadia S.Salvatore;20/06/2019;15,4;27,1
Abbadia S.Salvatore;21/06/2019;15,1;28,1
Abbadia S.Salvatore;22/06/2019;16;28
Abbadia S.Salvatore;23/06/2019;15,6;24,8
Abbadia S.Salvatore;24/06/2019;17,7;25,9
Abbadia S.Salvatore;25/06/2019;18,2;27,4
Abbadia S.Salvatore;26/06/2019;19,3;27,7
Abbadia S.Salvatore;27/06/2019;19,2;30,8
Abbadia S.Salvatore;28/06/2019;22,5;32,8
Abbadia S.Salvatore;29/06/2019;20,4;28,2
Abbadia S.Salvatore;30/06/2019;19,1;30,4
Abbazia Trisulti;01/06/2019;9,4;17,6
Abbazia Trisulti;02/06/2019;10,9;21,4
Abbazia Trisulti;03/06/2019;12,3;21,6
Abbazia Trisulti;04/06/2019;10,7;23,2
Abbazia Trisulti;05/06/2019;12,7;23,2
Abbazia Trisulti;06/06/2019;13,2;23,8
Abbazia Trisulti;07/06/2019;15;26,4
Abbazia Trisulti;08/06/2019;18,5;28,4
Abbazia Trisulti;09/06/2019;19,5;30,9
Abbazia Trisulti;10/06/2019;20,7;30,5
Abbazia Trisulti;11/06/2019;20,1;28,2
Abbazia Trisulti;12/06/2019;18,1;27,9
Abbazia Trisulti;13/06/2019;17,7;29,4
Abbazia Trisulti;14/06/2019;20,4;32,8
Abbazia Trisulti;15/06/2019;19,6;30,2
Abbazia Trisulti;16/06/2019;17,4;28,6
Abbazia Trisulti;17/06/2019;14,9;27,2
Abbazia Trisulti;18/06/2019;15,7;27,7
Abbazia Trisulti;19/06/2019;16,3;26,6
Abbazia Trisulti;20/06/2019;15,5;27,9
Abbazia Trisulti;21/06/2019;17;30
Abbazia Trisulti;22/06/2019;17,5;27,5
Abbazia Trisulti;23/06/2019;15,8;28
Abbazia Trisulti;24/06/2019;17;29,1
Abbazia Trisulti;25/06/2019;20,3;29,7
Abbazia Trisulti;26/06/2019;20,6;29,9
Abbazia Trisulti;27/06/2019;20,9;32,9
Abbazia Trisulti;28/06/2019;21,1;32,5
Abbazia Trisulti;29/06/2019;19,1;29,4
Abbazia Trisulti;30/06/2019;17,7;31,6
Acquapendente;01/06/2019;6,3;27,8
Acquapendente;02/06/2019;12,6;31,5
Acquapendente;03/06/2019;11,1;33,4
Acquapendente;04/06/2019;9,7;30,3
Acquapendente;05/06/2019;10,2;28,3
Acquapendente;06/06/2019;10,2;24,9
Acquapendente;07/06/2019;11,5;27,8
Acquapendente;08/06/2019;12,9;31,9
Acquapendente;09/06/2019;14,3;32,8
Acquapendente;10/06/2019;13,6;34,4
Acquapendente;11/06/2019;13,4;28,5
Acquapendente;12/06/2019;13,1;30,2
Acquapendente;13/06/2019;10,8;32,1
Acquapendente;14/06/2019;12,6;35,8
Acquapendente;15/06/2019;16,5;34,5
Acquapendente;16/06/2019;12,5;36,4
Acquapendente;17/06/2019;12,9;35,8
Acquapendente;18/06/2019;14,4;37
Acquapendente;19/06/2019;14,9;33,6
Acquapendente;20/06/2019;12,5;31,2
Acquapendente;21/06/2019;12,3;32
Acquapendente;22/06/2019;16,2;29,9
Acquapendente;23/06/2019;13,9;36
Acquapendente;24/06/2019;14,8;36,2
Acquapendente;25/06/2019;17,2;36,6
Acquapendente;26/06/2019;19,6;37,1
Acquapendente;27/06/2019;16,2;41,4
Acquapendente;28/06/2019;17,5;38,2
Acquapendente;29/06/2019;16,9;37,7
Acquapendente;30/06/2019;13,9;39,3
