Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/05/2019;6,6;14,9
Abbadia S.Salvatore;02/05/2019;6,2;16,4
Abbadia S.Salvatore;03/05/2019;8,3;14,8
Abbadia S.Salvatore;04/05/2019;7,2;14
Abbadia S.Salvatore;05/05/2019;1,5;10,4
Abbadia S.Salvatore;06/05/2019;1,7;7,4
Abbadia S.Salvatore;07/05/2019;4,4;13,8
Abbadia S.Salvatore;08/05/2019;4,2;13,7
Abbadia S.Salvatore;09/05/2019;7,5;15,3
Abbadia S.Salvatore;10/05/2019;8,3;15,8
Abbadia S.Salvatore;11/05/2019;7,1;17,6
Abbadia S.Salvatore;12/05/2019;5,4;12,3
Abbadia S.Salvatore;13/05/2019;6;7,8
Abbadia S.Salvatore;14/05/2019;2,6;8,6
Abbadia S.Salvatore;15/05/2019;2;6,7
Abbadia S.Salvatore;16/05/2019;3,4;13,9
Abbadia S.Salvatore;17/05/2019;5,6;16,2
Abbadia S.Salvatore;18/05/2019;8,2;12,6
Abbadia S.Salvatore;19/05/2019;7,5;11,7
Abbadia S.Salvatore;20/05/2019;6,6;13,9
Abbadia S.Salvatore;21/05/2019;7,7;16,1
Abbadia S.Salvatore;22/05/2019;7,9;13,9
Abbadia S.Salvatore;23/05/2019;9,1;16,9
Abbadia S.Salvatore;24/05/2019;9,3;18,9
Abbadia S.Salvatore;25/05/2019;9,7;20,2
Abbadia S.Salvatore;26/05/2019;9,9;14
Abbadia S.Salvatore;27/05/2019;10,1;18,8
Abbadia S.Salvatore;28/05/2019;9,6;16,5
Abbadia S.Salvatore;29/05/2019;8,7;13,4
Abbadia S.Salvatore;30/05/2019;7,6;13,8
Abbadia S.Salvatore;31/05/2019;7,6;16,1
Abbazia Trisulti;01/05/2019;5,2;12,5
Abbazia Trisulti;02/05/2019;5,3;15,6
Abbazia Trisulti;03/05/2019;6,2;14,8
Abbazia Trisulti;04/05/2019;7,4;11,6
Abbazia Trisulti;05/05/2019;2,2;9,3
Abbazia Trisulti;06/05/2019;2,1;10,1
Abbazia Trisulti;07/05/2019;4,9;13,4
Abbazia Trisulti;08/05/2019;4,7;15,6
Abbazia Trisulti;09/05/2019;7;13
Abbazia Trisulti;10/05/2019;7,7;16,6
Abbazia Trisulti;11/05/2019;8,9;17,3
Abbazia Trisulti;12/05/2019;6,1;13,8
Abbazia Trisulti;13/05/2019;5,2;12,6
Abbazia Trisulti;14/05/2019;5,7;13,1
