Stazioni;Data;T-MIN;T-MAX
Abbadia S.Salvatore;01/03/2019;2,5;10,2
Abbadia S.Salvatore;02/03/2019;5,2;13,6
Abbadia S.Salvatore;03/03/2019;4,4;14,7
Abbadia S.Salvatore;04/03/2019;2,9;11,2
Abbadia S.Salvatore;05/03/2019;4,3;11,8
Abbadia S.Salvatore;06/03/2019;3,1;14
Abbadia S.Salvatore;07/03/2019;7,2;14
Abbadia S.Salvatore;08/03/2019;4,3;13,1
Abbadia S.Salvatore;09/03/2019;4;13,6
Abbadia S.Salvatore;10/03/2019;4,1;13,5
Abbadia S.Salvatore;11/03/2019;-0,3;12,6
Abbadia S.Salvatore;12/03/2019;-1,3;7,8
Abbadia S.Salvatore;13/03/2019;0,8;10,6
Abbadia S.Salvatore;14/03/2019;1,3;10,5
Abbadia S.Salvatore;15/03/2019;3,2;14,8
Abbadia S.Salvatore;16/03/2019;4,9;12,1
Abbadia S.Salvatore;17/03/2019;3,2;14,3
Abbadia S.Salvatore;18/03/2019;3,4;10,1
Abbadia S.Salvatore;19/03/2019;0,6;5,5
Abbadia S.Salvatore;20/03/2019;0,7;6,6
Abbadia S.Salvatore;21/03/2019;1,5;12,7
Abbadia S.Salvatore;22/03/2019;5,3;15,9
Abbadia S.Salvatore;23/03/2019;6,8;17,6
Abbadia S.Salvatore;24/03/2019;7,5;18,8
Abbadia S.Salvatore;25/03/2019;4,6;16,9
Abbadia S.Salvatore;26/03/2019;-0,1;5,9
Abbadia S.Salvatore;27/03/2019;1,9;9,6
Abbadia S.Salvatore;28/03/2019;1,4;8,4
Abbadia S.Salvatore;29/03/2019;2,8;12,1
Abbadia S.Salvatore;30/03/2019;3,1;15,2
Abbadia S.Salvatore;31/03/2019;6,6;17,7
Abbazia Trisulti;01/03/2019;4,2;9,5
Abbazia Trisulti;02/03/2019;4,8;14,2
Abbazia Trisulti;03/03/2019;5,5;14,4
Abbazia Trisulti;04/03/2019;4,1;13,6
Abbazia Trisulti;05/03/2019;4,2;10,7
Abbazia Trisulti;06/03/2019;3,3;14,2
Abbazia Trisulti;07/03/2019;7;15,2
Abbazia Trisulti;08/03/2019;6,5;15,3
Abbazia Trisulti;09/03/2019;5,8;15,1
Abbazia Trisulti;10/03/2019;4;9,9
Abbazia Trisulti;11/03/2019;1,3;11,6
Abbazia Trisulti;12/03/2019;0,7;8,1
Abbazia Trisulti;13/03/2019;0,3;11,4
Abbazia Trisulti;14/03/2019;2,6;11,3
Abbazia Trisulti;15/03/2019;2,6;16,2
Abbazia Trisulti;16/03/2019;3,9;11,6
Abbazia Trisulti;17/03/2019;4,5;13,3
Abbazia Trisulti;18/03/2019;3,1;13,1
Abbazia Trisulti;19/03/2019;1,9;11,6
Abbazia Trisulti;20/03/2019;5,3;9,4
Abbazia Trisulti;21/03/2019;5,2;18,1
Abbazia Trisulti;22/03/2019;7,1;18,4
Abbazia Trisulti;23/03/2019;9,3;18,4
Abbazia Trisulti;24/03/2019;9,1;19
Abbazia Trisulti;25/03/2019;7,4;16,1
Abbazia Trisulti;26/03/2019;4,6;10,1
Abbazia Trisulti;27/03/2019;4,7;9,8
Abbazia Trisulti;28/03/2019;4,5;11,6
Abbazia Trisulti;29/03/2019;5,6;13,4
Abbazia Trisulti;30/03/2019;5,1;15,9
Abbazia Trisulti;31/03/2019;6,9;17,9
Acquapendente;01/03/2019;6,7;13,3
Acquapendente;02/03/2019;2,1;21,8
Acquapendente;03/03/2019;-1,1;24,9
Acquapendente;04/03/2019;5,5;16,4
Acquapendente;05/03/2019;1,5;16,5
Acquapendente;06/03/2019;-1,6;17,3
Acquapendente;07/03/2019;4,6;19,4
Acquapendente;08/03/2019;3,9;18
Acquapendente;09/03/2019;-1,1;20,8
Acquapendente;10/03/2019;0,6;14
Acquapendente;11/03/2019;3,4;19,9
Acquapendente;12/03/2019;-1,3;16,8
Acquapendente;13/03/2019;-3,7;13,8
Acquapendente;14/03/2019;1;19,7
Acquapendente;15/03/2019;0,2;20,8
Acquapendente;16/03/2019;0,4;13,8
Acquapendente;17/03/2019;5;14,6
Acquapendente;18/03/2019;7,7;14,1
Acquapendente;19/03/2019;5,1;15,2
Acquapendente;20/03/2019;4,5;16,4
Acquapendente;21/03/2019;5,7;21,3
Acquapendente;22/03/2019;5,4;25,5
Acquapendente;23/03/2019;2,4;27,3
Acquapendente;24/03/2019;0,5;27,2
