"Tipo Sistema","Descrizione","Latitude","Longitude","Altezza Livello Mare","Indirizzo","CAP","Località","Comune","Provincia","Regione","Nazione","Bacino"
"Stazione","Guadamello","42.467111","12.434944","59","SBARRAMENTO DI S.LIBERATO","05035","LAGO S.LIBERATO","Narni","TR","UMBRIA","ITA","LAGO S.LIBERATO"
"Stazione","Tevere a Ponte Felice","42.350583","12.461278","45","SS3 FLAMINIA - KM 61+500","01033","PONTE FELICE","CIVITA CASTELLANA","VT","LAZIO","ITA","B – Bac Medio Tevere"
"Stazione","Sabaudia","41.299500","13.027722","38","VIA DEI FORESTALI, 1-2/A","04016","CORPO FORESTALE DELLO STATO","SABAUDIA","LT","LAZIO","ITA","F – Bac Costieri Sud"
"Stazione","Aniene a Ponte Salario","41.939528","12.508361","23","SS4 KM6+600","00199","VIA SALARIA","ROMA","RM","LAZIO","ITA","E – Aniene"
"Stazione","Tor Vergata","41.851056","12.631111","80","VIA CRACOVIA","00133","UNIVERSITA' TOR VERGATA","ROMA","RM","LAZIO","ITA","E – Aniene"
"Stazione","Aniene a Lunghezza","41.927139","12.667444","43","VIA TENUTA DEL CAVALIERE","00010","LUNGHEZZA","ROMA","RM","LAZIO","ITA","E – Aniene"
"Stazione","Roma Macao","41.904000","12.507194","84","VIA MONZAMBANO 10","00185","ROMA","ROMA","RM","LAZIO","ITA","E – Aniene"
"Stazione","Tevere a Ripetta","41.905056","12.474389","19","PONTE CAVOUR","00186","PONTE CAVOUR","ROMA","RM","LAZIO","ITA","D – Roma"
"Stazione","Tevere a Villa Spada","41.961167","12.503083","25","VIA SALARIA 905/B","00189","PONTE ACEA SUL F.TEVERE","ROMA","RM","LAZIO","ITA","D – Roma"
"Stazione","Aniene a Ponte Lucano","41.955861","12.763111","54","SS5 TIBURTINA KM26+100","00019","TIVOLI","TIVOLI","RM","LAZIO","ITA","E – Aniene"
"Stazione","Viterbo","42.419861","12.106444","340","VIA MARCONI, 29","01100","GENIO CIVILE","VITERBO","VT","LAZIO","ITA","A –Bac Costieri Nord"
"Stazione","Aniene a Marano Equo","41.993861","13.021250","330","SP43A","00020","PONTE SUL F.ANIENE","MARANO EQUO","RM","LAZIO","ITA","E – Aniene"
"Stazione","Velino ad Antrodoco","42.421306","13.080028","498","SS4 KM 98+850","02013","PONTE SUL VELINO","ANTRODOCO","RI","LAZIO","ITA","C – Appennino Rieti"
"Stazione","Velino a Rieti","42.403000","12.871611","395","SR579 PONTE SUL VELINO","02100","PONTE CAVALLOTTI","RIETI","RI","LAZIO","ITA","C – Appennino Rieti"
"Stazione","Velino a Terria","42.442222","12.795528","384","PONTE SUL VELINO SP1 KM6+400","02100","TERRIA","RIETI","RI","LAZIO","ITA","C – Appennino Rieti"
